,Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,Total_x,Mbps (Media de bajada),Accesos por cada 100 hab,Accesos por cada 100 hogares,Accesso proyectado/100 hogares,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total_y
0,2021,1, Buenos Aires ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629679.0,2452056.0,821597.0,98806.0,57864.0,4060002.0
1,2021,2, Buenos Aires ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,603255.0,2503830.0,854173.0,113546.0,57547.0,4132351.0
2,2022,2, Buenos Aires ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350652.0,2719613.0,1399043.0,126847.0,71028.0,4667183.0
3,2021,3, Buenos Aires ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,585729.0,2595485.0,885613.0,120228.0,64554.0,4251609.0
4,2021,1, Formosa ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20663.0,11412.0,2562.0,15669.0,380.0,50686.0
5,2021,2, Formosa ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19571.0,12509.0,3610.0,15690.0,171.0,51551.0
6,2022,2, Formosa ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15397.0,25487.0,9875.0,16910.0,212.0,67881.0
7,2021,3, Formosa ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18093.0,14111.0,4730.0,15690.0,171.0,52795.0
8,2021,1, La Pampa ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8946.0,58711.0,15779.0,12369.0,1300.0,97105.0
9,2021,2, La Pampa ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9017.0,57014.0,17132.0,13209.0,1295.0,97667.0
10,2022,2, La Pampa ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7796.0,59273.0,22994.0,20200.0,1264.0,111527.0
11,2021,3, La Pampa ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9015.0,57881.0,17817.0,14479.0,1295.0,100487.0
12,2021,1, Salta ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54768.0,89187.0,31498.0,5669.0,6452.0,187574.0
